=== ROOT CATEGORIES (parent=0) ===

[OLD] [110] Прочее (slug: прочее, actual: 0, stored: 0)
[OLD] [735] Сервоприводы (slug: сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [736] Happymodel (slug: happymodel, actual: 0, stored: 0)
  [OLD] [745] Hitec (slug: hitec, actual: 0, stored: 0)
  [OLD] [750] Savox (slug: savox, actual: 0, stored: 0)
  [OLD] [1182] KST (slug: kst, actual: 0, stored: 0)
  [OLD] [1203] K-Power (slug: k-power, actual: 0, stored: 0)
  [OLD] [1206] JX (slug: jx, actual: 0, stored: 0)
  [OLD] [1281] Emax (slug: emax, actual: 0, stored: 0)
  [OLD] [1416] MKS (slug: сервоприводы-mks, actual: 0, stored: 0)
  [OLD] [1626] PowerHD (slug: powerhd, actual: 0, stored: 0)
  [OLD] [1628] CORONA (slug: corona, actual: 0, stored: 0)
  [OLD] [1630] HENGE (slug: henge, actual: 0, stored: 0)
  [OLD] [4067] DSSERVO (slug: dsservo, actual: 0, stored: 0)
  [OLD] [4071] Feetech (slug: feetech, actual: 0, stored: 0)
  [OLD] [4621] GXservo (slug: gxservo, actual: 0, stored: 0)
  [OLD] [4868] FrSky (slug: frsky-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [5482] HobbyPorter (slug: hobbyporter, actual: 0, stored: 0)
  [OLD] [5596] Readytosky (slug: readytosky-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [5600] SURPASS (slug: surpass-hobby, actual: 0, stored: 0)
  [OLD] [5948] 9imod (slug: 9imod, actual: 0, stored: 0)
  [OLD] [5949] CYS (slug: cys, actual: 0, stored: 0)
  [OLD] [6386] KingMax (slug: kingmax, actual: 0, stored: 0)
  [OLD] [6435] Flashhobby (slug: flashhobby-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [6460] Futaba (slug: futaba-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [6632] AtomRC (slug: atomrc-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [6713] Dualsky (slug: dualsky-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [7317] SPT Servo (slug: spt-servo, actual: 0, stored: 0)
  [OLD] [7457] Waveshare (slug: waveshare-сервоприводы-для-квадрокоптера, actual: 0, stored: 0)
  [OLD] [7461] YANTRC (slug: yantrc, actual: 0, stored: 0)
  [OLD] [7570] DSpower (slug: dspower, actual: 0, stored: 0)
  [OLD] [7573] INJORA (slug: injora, actual: 0, stored: 0)
  [OLD] [7754] WAVGAT (slug: wavgat, actual: 0, stored: 0)
  [OLD] [8042] Lichuan (slug: lichuan, actual: 0, stored: 0)
  [OLD] [8108] HawkSpeed (slug: hawkspeed, actual: 0, stored: 0)
  [OLD] [8268] NeebRC (slug: neebrc, actual: 0, stored: 0)
  [OLD] [8271] Oversky (slug: oversky, actual: 0, stored: 0)
[OLD] [737] Микрокомпьютеры (slug: микрокомпьютеры, actual: 0, stored: 0)
